brokertitle,type,beds,bath,propertysqft,administrative_area_level_2,latitude,longitude,status,borough,bed_bath_ratio,price
Brokered by Corcoran East Side,Co-op for sale,1.6094379124341003,1.6094379124341003,7.6894662343551055,New York,40.7816743,-73.9600313,Pending,Manhattan,0.6931471805599453,15.760706309040964
other,House for sale,1.0986122886681098,1.0986122886681098,7.13966033596492,United States,40.6131085,-74.1603745,Pending,Staten Island,0.6931471805599453,13.526346053920212
NoBroker,Co-op for sale,1.0986122886681098,1.0986122886681098,7.0909098220799835,New York,40.5866451,-73.949452,Pending,Brooklyn,0.6931471805599453,13.151924121391561
other,House for sale,1.3862943611198906,1.0986122886681098,7.48605261786314,United States,40.8411589,-73.8265147,Pending,Bronx,0.9162907318741551,13.217657193438404
Brokered by Serhant,Condo for sale,0.6931471805599453,1.0986122886681098,7.0192966537150445,New York,40.7408927,-74.0044465,Pending,Manhattan,0.4054651081081644,14.48334044336031
other,Multi-family home for sale,1.9459101490553132,1.3862943611198906,7.650168700845001,United States,40.5586967,-74.1351001,Pending,Staten Island,1.0986122886681098,13.707926460869462
other,Condo for sale,1.3862943611198906,1.6094379124341003,7.806696372521179,New York County,40.7781672,-73.9489094,Pending,Manhattan,0.5596157879354227,15.200554387495371
other,Co-op for sale,1.0986122886681098,1.0986122886681098,7.0909098220799835,New York,40.7812626,-73.7745671,Pending,Queens,0.6931471805599453,13.014780393893403
other,Townhouse for sale,1.791759469228055,1.0986122886681098,7.6894662343551055,United States,40.6678086,-73.8739629,Pending,Brooklyn,1.252762968495368,13.586098651497313
Brokered by Douglas Elliman - 575 Madison Ave,House for sale,1.6094379124341003,1.0986122886681098,8.965206802770357,United States,40.7780321,-73.9574506,Pending,Manhattan,1.0986122886681098,16.3408392022832
other,House for sale,1.3862943611198906,1.0986122886681098,7.504942068396171,United States,40.5557686,-74.1327357,Pending,Staten Island,0.9162907318741551,13.591117476312084
other,House for sale,1.3862943611198906,1.6094379124341003,7.7752758464868625,United States,40.5393625,-74.214287,Pending,Staten Island,0.5596157879354227,14.058457520888082
other,Co-op for sale,1.6094379124341003,1.6094379124341003,7.4949862339505335,United States,40.6032357,-74.0737747,Contingent,Staten Island,0.6931471805599453,13.81451105863119
