brokertitle,type,beds,bath,propertysqft,administrative_area_level_2,latitude,longitude,price,status,borough,bed_bath_ratio
Brokered by KELLER WILLIAMS REALTY LANDMARK II,House for sale,3,2,2184.207862,United States,40.760703,-73.880887,918888,Pending,Queens,1.5
other,Co-op for sale,1,1,1470.0,New York,40.5756358,-73.8423199,369000,Pending,Queens,1.0
other,Condo for sale,3,1,393.0,New York,40.6184843,-74.0001507,380000,Pending,Brooklyn,3.0
Brokered by Corcoran East Side,Co-op for sale,3,3,2500.0,New York,40.7751383,-73.9457867,2495000,Pending,Manhattan,1.0
Brokered by Douglas Elliman - 575 Madison Ave,Condo for sale,4,4,4100.0,New York,40.7375173,-73.9979625,4750000,Pending,Manhattan,1.0
other,Multi-family home for sale,10,5,2184.207862,United States,40.7693956,-73.7708144,2399000,Pending,Queens,2.0
other,Co-op for sale,4,2,1957.0,United States,40.6248041,-74.0355778,999000,Pending,Brooklyn,2.0
Brokered by COMPASS,Townhouse for sale,6,5,3552.0,United States,40.7283165,-74.0017116,6995000,Pending,Manhattan,1.2
other,Co-op for sale,1,1,600.0,New York,40.7794608,-73.979919,699000,Pending,Manhattan,1.0
Brokered by COMPASS,Townhouse for sale,5,4,3000.0,United States,40.6735597,-74.0004525,1999000,Pending,Brooklyn,1.25
other,Co-op for sale,3,1,625.0,Queens County,40.7318415,-73.8574816,215000,Pending,Queens,3.0
other,Condo for sale,2,2,951.0,New York,40.7958546,-73.9464985,900000,Pending,Manhattan,1.0
Brokered by RE MAX Real Estate Professionals,House for sale,4,2,2269.0,United States,40.5849183,-74.1599388,685000,Pending,Staten Island,2.0
other,Multi-family home for sale,5,3,2980.0,United States,40.6484284,-73.9166783,888000,Pending,Brooklyn,1.6666666666666667
NoBroker,Multi-family home for sale,8,2,2184.207862,United States,40.6147578,-73.9757141,2000000,Pending,Brooklyn,4.0
other,Co-op for sale,3,4,2184.207862,New York,40.7855084,-73.7762312,659900,Pending,Queens,0.75
other,Multi-family home for sale,5,3,2184.207862,United States,40.6632544,-73.7626214,3900000,Pending,Queens,1.6666666666666667
other,Co-op for sale,1,1,2184.207862,New York,40.6249201,-74.0404698,385000,Pending,Brooklyn,1.0
Brokered by Sotheby's International Realty - East Side Manhattan Brokerage,Co-op for sale,5,3,2400.0,United States,40.7779975,-73.9445342,1995000,Pending,Manhattan,1.6666666666666667
other,House for sale,3,2,2500.0,United States,40.8365023,-73.8919613,765000,Pending,Bronx,1.5
Brokered by Brown Harris Stevens,Co-op for sale,1,1,2184.207862,New York,40.8801731,-73.91173,205000,Pending,Bronx,1.0
other,House for sale,2,2,992.0,United States,40.7810618,-73.8144859,769000,Pending,Queens,1.0
Brokered by COMPASS,Townhouse for sale,8,6,5925.0,United States,40.806166,-73.9448308,5500000,Pending,Manhattan,1.3333333333333333
Brokered by Brown Harris Stevens,Condo for sale,1,1,2184.207862,United States,40.7344156,-73.9836325,995000,Pending,Manhattan,1.0
Brokered by Exp Realty,Co-op for sale,1,1,2184.207862,New York,40.7586799,-73.8755,189999,Pending,Queens,1.0
other,Co-op for sale,2,1,850.0,New York,40.6142504,-73.9196974,315000,Pending,Brooklyn,2.0
Brokered by COMPASS,Co-op for sale,3,2,1250.0,New York,40.8071957,-73.941821,550000,Pending,Manhattan,1.5
Brokered by COMPASS,Co-op for sale,1,1,2184.207862,New York,40.8003865,-73.9443376,265000,Pending,Manhattan,1.0
Brokered by COMPASS,Condo for sale,1,2,1144.0,United States,40.7449256,-74.0057175,2350000,Pending,Manhattan,0.5
Brokered by COMPASS,Condo for sale,2,2,1274.0,New York,40.7603978,-73.9919328,1989000,Pending,Manhattan,1.0
Brokered by E Realty International Corp,House for sale,3,1,1296.0,United States,40.7540089,-73.8189203,988000,Pending,Queens,3.0
other,Condo for sale,3,1,500.0,New York,40.778411,-73.781048,349000,Pending,Queens,3.0
other,Co-op for sale,2,1,600.0,New York,40.7767119,-73.9077637,305000,Pending,Queens,2.0
other,House for sale,3,2,2700.0,United States,40.5116874,-74.2388187,1399999,Pending,Staten Island,1.5
other,House for sale,3,2,2184.207862,United States,40.6645719,-73.8995034,599000,Pending,Brooklyn,1.5
other,Condo for sale,2,1,2184.207862,New York,40.8640024,-73.9231918,470000,Pending,Manhattan,2.0
